,Beverage_category,Beverage_prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A,Vitamin_C,Calcium,Iron,Caffeine(mg)
0,Coffee,Short,3,0.1,0.0,0.0,0,5,0,0,0,0.3,0.0,0.0,0.0,0.0,175
1,Coffee,Tall,4,0.1,0.0,0.0,0,10,0,0,0,0.5,0.0,0.0,0.0,0.0,260
2,Coffee,Grande,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,330
3,Coffee,Venti,5,0.1,0.0,0.0,0,10,0,0,0,1.0,0.0,0.0,0.02,0.0,410
4,Classic Espresso Drinks,Short Nonfat Milk,70,0.1,0.1,0.0,5,75,10,0,9,6.0,0.1,0.0,0.2,0.0,75
5,Classic Espresso Drinks,2% Milk,100,3.5,2.0,0.1,15,85,10,0,9,6.0,0.1,0.0,0.2,0.0,75
6,Classic Espresso Drinks,Soymilk,70,2.5,0.4,0.0,0,65,6,1,4,5.0,0.06,0.0,0.2,0.08,75
7,Classic Espresso Drinks,Tall Nonfat Milk,100,0.2,0.2,0.0,5,120,15,0,14,10.0,0.15,0.0,0.3,0.0,75
8,Classic Espresso Drinks,2% Milk,150,6,3.0,0.2,25,135,15,0,14,10.0,0.15,0.0,0.3,0.0,75
9,Classic Espresso Drinks,Soymilk,110,4.5,0.5,0.0,0,105,10,1,6,8.0,0.1,0.0,0.3,0.15,75
10,Classic Espresso Drinks,Grande Nonfat Milk,130,0.3,0.2,0.0,5,150,19,0,18,13.0,0.2,0.0,0.4,0.0,150
11,Classic Espresso Drinks,2% Milk,190,7,3.5,0.2,30,170,19,0,17,12.0,0.2,0.02,0.4,0.0,150
12,Classic Espresso Drinks,Soymilk,150,5,0.5,0.0,0,130,13,1,8,10.0,0.15,0.0,0.4,0.15,150
13,Classic Espresso Drinks,Venti Nonfat Milk,170,0.4,0.3,0.0,10,190,25,0,23,16.0,0.3,0.0,0.5,0.0,150
14,Classic Espresso Drinks,2% Milk,240,9,4.5,0.3,35,220,24,0,22,16.0,0.25,0.02,0.5,0.0,150
15,Classic Espresso Drinks,Soymilk,190,7,1.0,0.0,0,170,16,2,11,13.0,0.2,0.0,0.5,0.25,150
16,Classic Espresso Drinks,Short Nonfat Milk,110,1.5,1.0,0.0,5,60,21,1,17,7.0,0.08,0.0,0.15,0.1,85
17,Classic Espresso Drinks,2% Milk,130,4,2.0,0.1,10,70,21,1,17,6.0,0.08,0.0,0.15,0.1,85
18,Classic Espresso Drinks,Soymilk,110,3.5,1.0,0.0,0,55,19,2,13,6.0,0.06,0.0,0.15,0.2,85
19,Classic Espresso Drinks,Tall Nonfat Milk,170,2,1.0,0.0,5,100,32,1,27,10.0,0.15,0.0,0.25,0.2,95
20,Classic Espresso Drinks,2% Milk,200,6,3.5,0.1,20,115,32,1,26,10.0,0.15,0.0,0.25,0.2,95
21,Classic Espresso Drinks,Soymilk,180,5,1.5,0.0,0,85,28,2,20,9.0,0.1,0.0,0.25,0.3,95
22,Classic Espresso Drinks,Grande Nonfat Milk,220,2.5,1.5,0.0,5,125,43,2,34,13.0,0.2,0.0,0.35,0.25,175
23,Classic Espresso Drinks,2% Milk,260,8,4.5,0.2,25,140,42,2,34,13.0,0.15,0.02,0.35,0.25,175
